<http://www.yso.fi/onto/yso/p22284>	eläinlääkkeet
<http://www.yso.fi/onto/yso/p11535>	väärinkäyttö
<http://www.yso.fi/onto/yso/p14110>	eläinlääkärit
<http://www.yso.fi/onto/yso/p854>	vastuu
<http://www.yso.fi/onto/yso/p5840>	lääkemääräykset
<http://www.yso.fi/onto/yso/p1077>	lääkkeet
<http://www.yso.fi/onto/yso/p10886>	päihteet
<http://www.yso.fi/onto/yso/p13854>	lainsäädäntö
<http://www.yso.fi/onto/yso/p19552>	ennaltaehkäisy
<http://www.yso.fi/onto/yso/p11099>	riskit
<http://www.yso.fi/onto/yso/p5465>	huumeet
