<http://www.yso.fi/onto/yso/p469>	lääketiede
<http://www.yso.fi/onto/yso/p84>	koulutus
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p183>	tutkimus
<http://www.yso.fi/onto/yso/p7413>	arviointi
<http://www.yso.fi/onto/yso/p4230>	kehittäminen
<http://www.yso.fi/onto/yso/p6182>	lääkärit
<http://www.yso.fi/onto/yso/p15085>	asiantuntijuus
<http://www.yso.fi/onto/yso/p13590>	peruskoulutus
<http://www.yso.fi/onto/yso/p8343>	osaaminen
<http://www.yso.fi/onto/yso/p3250>	hammaslääketiede
<http://www.yso.fi/onto/yso/p13158>	ammatillinen kehitys
