<http://www.yso.fi/onto/yso/p67>	väkivalta
<http://www.yso.fi/onto/yso/p11490>	rikollisuus
<http://www.yso.fi/onto/yso/p20257>	väkivaltarikokset
<http://www.yso.fi/onto/yso/p1193>	rikoksentekijät
<http://www.yso.fi/onto/yso/p1506>	henkirikokset
<http://www.yso.fi/onto/yso/p125>	rikokset
<http://www.yso.fi/onto/yso/p5069>	murha
<http://www.yso.fi/onto/yso/p5068>	tappo
<http://www.yso.fi/onto/yso/p1704>	verikosto
<http://www.yso.fi/onto/yso/p5390>	pahoinpitely
<http://www.yso.fi/onto/yso/p2954>	yhteiskunnallinen muutos
<http://www.yso.fi/onto/yso/p10425>	rikosoikeus
<http://www.yso.fi/onto/yso/p6565>	rikosprosessi
<http://www.yso.fi/onto/yso/p15654>	käräjät
<http://www.yso.fi/onto/yso/p9063>	oikeudenkäynti
<http://www.yso.fi/onto/yso/p19910>	rikoksentorjunta
<http://www.yso.fi/onto/yso/p7480>	oikeushistoria
<http://www.yso.fi/onto/yso/p8841>	historiallinen kriminologia
<http://www.yso.fi/onto/yso/p1780>	historia
