<http://www.yso.fi/onto/yso/p183>	tutkimus
<http://www.yso.fi/onto/yso/p8692>	digitalisaatio
<http://www.yso.fi/onto/yso/p10480>	tieteellinen julkaisutoiminta
<http://www.yso.fi/onto/yso/p2240>	tiede
<http://www.yso.fi/onto/yso/p10429>	yhteiskuntatieteet
<http://www.yso.fi/onto/yso/p1655>	vaikuttavuus
<http://www.yso.fi/onto/yso/p25380>	laadunarviointi
<http://www.yso.fi/onto/yso/p27006>	tutkimustieto
<http://www.yso.fi/onto/yso/p11327>	hyödyntäminen
<http://www.yso.fi/onto/yso/p22506>	PISA-tutkimus
<http://www.yso.fi/onto/yso/p4794>	mittaus
