<http://www.yso.fi/onto/yso/p11597>	elämäkerrat
<http://www.yso.fi/onto/yso/p11816>	asevoimat
<http://www.yso.fi/onto/yso/p7457>	puolustusvoimat
<http://www.yso.fi/onto/yso/p2718>	henkilöhistoria
<http://www.yso.fi/onto/yso/p13938>	jääkärit
<http://www.yso.fi/onto/yso/p1783>	jääkäriliike
<http://www.yso.fi/onto/yso/p10970>	kansalaissota
<http://www.yso.fi/onto/yso/p20518>	lapuanliike
<http://www.yso.fi/onto/yso/p16540>	Mäntsälän kapina
<http://www.yso.fi/onto/yso/p8904>	talvisota
<http://www.yso.fi/onto/yso/p5943>	jatkosota
<http://www.yso.fi/onto/yso/p13199>	sotahistoria
<http://www.yso.fi/onto/yso/p15286>	poliittinen historia
