<http://www.yso.fi/onto/yso/p4918>	varhaiskasvatuksen opettajat
<http://www.yso.fi/onto/yso/p10746>	opettajankoulutus
<http://www.yso.fi/onto/yso/p1650>	varhaiskasvatus
<http://www.yso.fi/onto/yso/p7050>	kumppanuus
<http://www.yso.fi/onto/yso/p282>	päiväkodit
<http://www.yso.fi/onto/yso/p22228>	työelämälähtöisyys
<http://www.yso.fi/onto/yso/p16262>	työelämä
<http://www.yso.fi/onto/yso/p6334>	yhteistyö
<http://www.yso.fi/onto/yso/p10895>	yliopistot
<http://www.yso.fi/onto/yso/p10225>	työssäoppiminen
<http://www.yso.fi/onto/yso/p3209>	kokemukset
<http://www.yso.fi/onto/yso/p15085>	asiantuntijuus
<http://www.yso.fi/onto/yso/p3390>	korkea-asteen koulutus
