<http://www.yso.fi/onto/yso/p13035>	liikuntaharrastus
<http://www.yso.fi/onto/yso/p24012>	liikkumattomuus
<http://www.yso.fi/onto/yso/p3402>	motiivit (aihelmat)
<http://www.yso.fi/onto/yso/p7236>	kuri
<http://www.yso.fi/onto/yso/p7320>	yksilöllisyys
<http://www.yso.fi/onto/yso/p5522>	yhteisöllisyys
<http://www.yso.fi/onto/yso/p24016>	liikuntateknologia
<http://www.yso.fi/onto/yso/p2420>	ilo
<http://www.yso.fi/onto/yso/p12544>	mielihyvä
<http://www.yso.fi/onto/yso/p3209>	kokemukset
<http://www.yso.fi/onto/yso/p21210>	mittarit (mittaus)
