<http://www.yso.fi/onto/yso/p20743>	tieto- ja viestintätekniikka
<http://www.yso.fi/onto/yso/p8586>	opintomenestys
<http://www.yso.fi/onto/yso/p19163>	opiskelumotivaatio
<http://www.yso.fi/onto/yso/p22036>	hyvinvointi (terveydellinen)
<http://www.yso.fi/onto/yso/p130>	uupumus
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p23129>	kouluviihtyvyys
<http://www.yso.fi/onto/yso/p10590>	sosiaalinen vuorovaikutus
<http://www.yso.fi/onto/yso/p3276>	vapaa-aika
<http://www.yso.fi/onto/yso/p5290>	sukupuolierot
<http://www.yso.fi/onto/yso/p2945>	oppiminen
<http://www.yso.fi/onto/yso/p5798>	taidot
<http://www.yso.fi/onto/yso/p5619>	asenteet
<http://www.yso.fi/onto/yso/p26466>	kiinnostus
<http://www.yso.fi/onto/yso/p8311>	luovuus
