<http://www.yso.fi/onto/yso/p3537>	kirja-arvostelut
<http://www.yso.fi/onto/yso/p18805>	aatehistoria
<http://www.yso.fi/onto/yso/p4545>	mentaliteettihistoria
<http://www.yso.fi/onto/yso/p12752>	pappiskoulutus
<http://www.yso.fi/onto/yso/p5359>	poliittiset asenteet
<http://www.yso.fi/onto/yso/p4879>	fennomania
<http://www.yso.fi/onto/yso/p8672>	pietismi
<http://www.yso.fi/onto/yso/p5165>	isänmaallisuus
<http://www.yso.fi/onto/yso/p3244>	autonomian aika
<http://www.yso.fi/onto/yso/p17789>	taloushistoria
<http://www.yso.fi/onto/yso/p2438>	liike-elämä
<http://www.yso.fi/onto/yso/p15501>	suomalaisuusliike
<http://www.yso.fi/onto/yso/p9310>	kielipolitiikka
<http://www.yso.fi/onto/yso/p5614>	kauppiaat
<http://www.yso.fi/onto/yso/p661>	kauppapolitiikka
<http://www.yso.fi/onto/yso/p1182>	yrittäjyys
