<http://www.yso.fi/onto/yso/p14664>	neuropsykologia
<http://www.yso.fi/onto/yso/p12092>	kliininen psykologia
<http://www.yso.fi/onto/yso/p2234>	kielelliset häiriöt
<http://www.yso.fi/onto/yso/p5301>	lukihäiriöt
<http://www.yso.fi/onto/yso/p5303>	dysleksia
<http://www.yso.fi/onto/yso/p12074>	puhehäiriöt
<http://www.yso.fi/onto/yso/p13492>	afasia
<http://www.yso.fi/onto/yso/p12073>	kehityksellinen kielihäiriö
<http://www.yso.fi/onto/yso/p9659>	skitsofrenia
<http://www.yso.fi/onto/yso/p9142>	alkoholismi
<http://www.yso.fi/onto/yso/p1711>	dementia
<http://www.yso.fi/onto/yso/p8412>	Alzheimerin tauti
<http://www.yso.fi/onto/yso/p294>	Parkinsonin tauti
