<http://www.yso.fi/onto/yso/p23102>	fyysinen aktiivisuus
<http://www.yso.fi/onto/yso/p7384>	fyysinen kunto
<http://www.yso.fi/onto/yso/p15095>	terveysliikunta
<http://www.yso.fi/onto/yso/p7676>	kestävyysharjoittelu
<http://www.yso.fi/onto/yso/p7382>	lihaskunto
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p5594>	työikäiset
<http://www.yso.fi/onto/yso/p2431>	eläkeläiset
<http://www.yso.fi/onto/yso/p5290>	sukupuolierot
<http://www.yso.fi/onto/yso/p5593>	ikäryhmät
<http://www.yso.fi/onto/yso/p10631>	kyselytutkimus
