<http://www.yso.fi/onto/yso/p11530>	pohjoismainen viisikolmattavuotinen sota
<http://www.yso.fi/onto/yso/p795>	vaikutukset
<http://www.yso.fi/onto/yso/p3511>	asutus
<http://www.yso.fi/onto/yso/p4208>	siviiliväestö
<http://www.yso.fi/onto/yso/p16323>	asutushistoria
<http://www.yso.fi/onto/yso/p5344>	väestöhistoria
<http://www.yso.fi/onto/yso/p2950>	autioituminen
<http://www.yso.fi/onto/yso/p2951>	autiotilat
<http://www.yso.fi/onto/yso/p9224>	tuhot
<http://www.yso.fi/onto/yso/p40>	sotatoimet
<http://www.yso.fi/onto/yso/p13199>	sotahistoria
<http://www.yso.fi/onto/yso/p1271>	sodat (tapahtumat)
<http://www.yso.fi/onto/yso/p1780>	historia
