<http://www.yso.fi/onto/yso/p10868>	aviopuolisot
<http://www.yso.fi/onto/yso/p2211>	omaiset
<http://www.yso.fi/onto/yso/p135>	jaksaminen
<http://www.yso.fi/onto/yso/p1711>	dementia
<http://www.yso.fi/onto/yso/p7995>	masennus
<http://www.yso.fi/onto/yso/p19584>	omaishoito
<http://www.yso.fi/onto/yso/p5513>	kotihoito
<http://www.yso.fi/onto/yso/p2433>	ikääntyneet
<http://www.yso.fi/onto/yso/p129>	työn kuormittavuus
<http://www.yso.fi/onto/yso/p10684>	hoitotyö
<http://www.yso.fi/onto/yso/p17226>	kuormitus
