<http://www.yso.fi/onto/yso/p4201>	näyttötutkinnot
<http://www.yso.fi/onto/yso/p27059>	näyttötutkintomestarit
<http://www.yso.fi/onto/yso/p4203>	ammattitutkinnot
<http://www.yso.fi/onto/yso/p22253>	ammatilliset tutkinnot
<http://www.yso.fi/onto/yso/p2725>	laadunvarmistus
<http://www.yso.fi/onto/yso/p7111>	oppilasarviointi
<http://www.yso.fi/onto/yso/p7413>	arviointi
<http://www.yso.fi/onto/yso/p3166>	etiikka
<http://www.yso.fi/onto/yso/p12777>	hiljainen tieto
<http://www.yso.fi/onto/yso/p14560>	dialogi
<http://www.yso.fi/onto/yso/p22700>	kohtaaminen
