<http://www.yso.fi/onto/yso/p12881>	tekstiilityö (oppiaineet)
<http://www.yso.fi/onto/yso/p22964>	sulautuva opetus
<http://www.yso.fi/onto/yso/p10647>	monikulttuurisuus
<http://www.yso.fi/onto/yso/p10645>	kulttuurienvälisyys
<http://www.yso.fi/onto/yso/p6621>	verkko-opetus
<http://www.yso.fi/onto/yso/p19847>	oppilaanohjaus
<http://www.yso.fi/onto/yso/p5103>	oppimisprosessi
<http://www.yso.fi/onto/yso/p22308>	tasa-arvokasvatus
<http://www.yso.fi/onto/yso/p10648>	kulttuuri-identiteetti
<http://www.yso.fi/onto/yso/p22960>	vaihto-opiskelijat
<http://www.yso.fi/onto/yso/p6165>	maahanmuuttajat
