<http://www.yso.fi/onto/yso/p916>	liikunta
<http://www.yso.fi/onto/yso/p965>	urheilu
<http://www.yso.fi/onto/yso/p5619>	asenteet
<http://www.yso.fi/onto/yso/p4736>	motivointi
<http://www.yso.fi/onto/yso/p6140>	sosialisaatio
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p4074>	vanhemmat
<http://www.yso.fi/onto/yso/p19861>	valmentajat
<http://www.yso.fi/onto/yso/p12705>	ohjaajat (taiteet ja media)
<http://www.yso.fi/onto/yso/p12877>	vertaisryhmät
<http://www.yso.fi/onto/yso/p10631>	kyselytutkimus
