<http://www.yso.fi/onto/yso/p1118>	kouluttajat
<http://www.yso.fi/onto/yso/p3209>	kokemukset
<http://www.yso.fi/onto/yso/p84>	koulutus
<http://www.yso.fi/onto/yso/p12705>	ohjaajat (taiteet ja media)
<http://www.yso.fi/onto/yso/p18624>	terveyskeskuslääkärit
<http://www.yso.fi/onto/yso/p21544>	kouluttajakoulutus
<http://www.yso.fi/onto/yso/p9675>	koulutusohjelmat
<http://www.yso.fi/onto/yso/p1091>	terveyskeskukset
<http://www.yso.fi/onto/yso/p4835>	oppimisympäristö
<http://www.yso.fi/onto/yso/p7482>	kokemusoppiminen
<http://www.yso.fi/onto/yso/p10225>	työssäoppiminen
