<http://www.yso.fi/onto/yso/p2890>	tulevaisuudentutkimus
<http://www.yso.fi/onto/yso/p817>	tulevaisuus
<http://www.yso.fi/onto/yso/p9907>	laadunhallinta
<http://www.yso.fi/onto/yso/p2722>	laatujärjestelmät
<http://www.yso.fi/onto/yso/p2725>	laadunvarmistus
<http://www.yso.fi/onto/yso/p1044>	arvot (käsitykset)
<http://www.yso.fi/onto/yso/p7413>	arviointi
<http://www.yso.fi/onto/yso/p15768>	arviointimenetelmät
<http://www.yso.fi/onto/yso/p10223>	arviointitutkimus
<http://www.yso.fi/onto/yso/p5622>	akkreditointi
<http://www.yso.fi/onto/yso/p249>	koulutuspolitiikka
<http://www.yso.fi/onto/yso/p19352>	resurssit
<http://www.yso.fi/onto/yso/p1030>	korkeakoulut
<http://www.yso.fi/onto/yso/p2123>	kehitys
