<http://www.yso.fi/onto/yso/p15487>	pankkiala
<http://www.yso.fi/onto/yso/p1099>	pankit
<http://www.yso.fi/onto/yso/p13477>	optimointi
<http://www.yso.fi/onto/yso/p510>	mallit (tuotokset)
<http://www.yso.fi/onto/yso/p22460>	varautuminen
<http://www.yso.fi/onto/yso/p11099>	riskit
<http://www.yso.fi/onto/yso/p25503>	finanssikriisit
<http://www.yso.fi/onto/yso/p21980>	luottotappiot
<http://www.yso.fi/onto/yso/p6215>	rahamarkkinat
<http://www.yso.fi/onto/yso/p10664>	sääntely
<http://www.yso.fi/onto/yso/p11614>	väitöskirjat
