<http://www.yso.fi/onto/yso/p4544>	mikrohistoria
<http://www.yso.fi/onto/yso/p4363>	perheet
<http://www.yso.fi/onto/yso/p2259>	perhe-elämä
<http://www.yso.fi/onto/yso/p4363>	perheet
<http://www.yso.fi/onto/yso/p7586>	sosiaalihistoria
<http://www.yso.fi/onto/yso/p406>	sukulaisuus
<http://www.yso.fi/onto/yso/p4495>	sosiaalinen rakenne
<http://www.yso.fi/onto/yso/p4927>	perheenjäsenet
<http://www.yso.fi/onto/yso/p5344>	väestöhistoria
<http://www.yso.fi/onto/yso/p5522>	yhteisöllisyys
<http://www.yso.fi/onto/yso/p4545>	mentaliteettihistoria
<http://www.yso.fi/onto/yso/p11752>	suurperheet
