<http://www.yso.fi/onto/yso/p10632>	haastattelututkimus
<http://www.yso.fi/onto/yso/p10631>	kyselytutkimus
<http://www.yso.fi/onto/yso/p9720>	metsälaki
<http://www.yso.fi/onto/yso/p23511>	metsäpalvelut
<http://www.yso.fi/onto/yso/p25103>	palvelutarpeet
<http://www.yso.fi/onto/yso/p11083>	metsänomistajat
<http://www.yso.fi/onto/yso/p27050>	metsänkäsittely
<http://www.yso.fi/onto/yso/p22310>	vaihtoehdot
<http://www.yso.fi/onto/yso/p7534>	metsänhoito
<http://www.yso.fi/onto/yso/p838>	palvelut
<http://www.yso.fi/onto/yso/p16411>	metsänhoitoyhdistykset
<http://www.yso.fi/onto/yso/p3982>	toimihenkilöt
<http://www.yso.fi/onto/yso/p8418>	mielipiteet
