<http://www.yso.fi/onto/yso/p3924>	liikuntakulttuuri
<http://www.yso.fi/onto/yso/p14285>	huippu-urheilu
<http://www.yso.fi/onto/yso/p13035>	liikuntaharrastus
<http://www.yso.fi/onto/yso/p2954>	yhteiskunnallinen muutos
<http://www.yso.fi/onto/yso/p7902>	kaupungistuminen
<http://www.yso.fi/onto/yso/p4806>	nuorisokulttuuri
<http://www.yso.fi/onto/yso/p894>	urheilulajit
<http://www.yso.fi/onto/yso/p7321>	individualismi
<http://www.yso.fi/onto/yso/p5522>	yhteisöllisyys
<http://www.yso.fi/onto/yso/p22843>	esteettisyys
<http://www.yso.fi/onto/yso/p20773>	elämyksellisyys
