<http://www.yso.fi/onto/yso/p4295>	roolipelit (pöytäroolipelit)
<http://www.yso.fi/onto/yso/p6374>	tiimit
<http://www.yso.fi/onto/yso/p554>	johtaminen
<http://www.yso.fi/onto/yso/p943>	moniammatillisuus
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p4081>	tiimityö
<http://www.yso.fi/onto/yso/p7482>	kokemusoppiminen
<http://www.yso.fi/onto/yso/p23563>	reflektio
<http://www.yso.fi/onto/yso/p7500>	kokoukset
<http://www.yso.fi/onto/yso/p6334>	yhteistyö
<http://www.yso.fi/onto/yso/p14765>	ryhmädynamiikka
