<http://www.yso.fi/onto/yso/p15286>	poliittinen historia
<http://www.yso.fi/onto/yso/p2903>	maolaisuus
<http://www.yso.fi/onto/yso/p8612>	julkinen keskustelu
<http://www.yso.fi/onto/yso/p20540>	lehdistökirjoittelu
<http://www.yso.fi/onto/yso/p20142>	Kiinan kulttuurivallankumous
<http://www.yso.fi/onto/yso/p3640>	uusvasemmisto
<http://www.yso.fi/onto/yso/p17092>	radikalismi
<http://www.yso.fi/onto/yso/p15791>	kommunistiset puolueet
<http://www.yso.fi/onto/yso/p442>	vasemmistoliikkeet
<http://www.yso.fi/onto/yso/p2646>	poliittinen osallistuminen
<http://www.yso.fi/onto/yso/p10727>	osallistuminen
