<http://www.yso.fi/onto/yso/p14780>	latinan kieli
<http://www.yso.fi/onto/yso/p5797>	kielitaito
<http://www.yso.fi/onto/yso/p272>	organisaatiot
<http://www.yso.fi/onto/yso/p3830>	teologia
<http://www.yso.fi/onto/yso/p17413>	kirjallisuuspiirit
<http://www.yso.fi/onto/yso/p1246>	korkeakouluopetus
<http://www.yso.fi/onto/yso/p8016>	itseohjautuvuus
<http://www.yso.fi/onto/yso/p5918>	ongelmalähtöinen oppiminen
<http://www.yso.fi/onto/yso/p26584>	opetuskokeilut
<http://www.yso.fi/onto/yso/p4079>	ryhmätyö
<http://www.yso.fi/onto/yso/p16486>	opiskelijat
