<http://www.yso.fi/onto/yso/p24016>	liikuntateknologia
<http://www.yso.fi/onto/yso/p4794>	mittaus
<http://www.yso.fi/onto/yso/p21210>	mittarit (mittaus)
<http://www.yso.fi/onto/yso/p27414>	mobiilisovellukset
<http://www.yso.fi/onto/yso/p23102>	fyysinen aktiivisuus
<http://www.yso.fi/onto/yso/p13035>	liikuntaharrastus
<http://www.yso.fi/onto/yso/p14978>	edistäminen
<http://www.yso.fi/onto/yso/p4734>	motivaatio
<http://www.yso.fi/onto/yso/p261>	tieto
<http://www.yso.fi/onto/yso/p1655>	vaikuttavuus
<http://www.yso.fi/onto/yso/p19682>	liikuntapolitiikka
<http://www.yso.fi/onto/yso/p24012>	liikkumattomuus
