<http://www.yso.fi/onto/yso/p9720>	metsälaki
<http://www.yso.fi/onto/yso/p13847>	puusto
<http://www.yso.fi/onto/yso/p5003>	kuolleisuus
<http://www.yso.fi/onto/yso/p14444>	hyönteistuhot
<http://www.yso.fi/onto/yso/p11854>	metsätuhot
<http://www.yso.fi/onto/yso/p1983>	hyönteiset
<http://www.yso.fi/onto/yso/p6884>	leviäminen
<http://www.yso.fi/onto/yso/p4492>	tuhohyönteiset
<http://www.yso.fi/onto/yso/p6200>	suojelualueet
<http://www.yso.fi/onto/yso/p19196>	talousmetsät
<http://www.yso.fi/onto/yso/p3621>	vanhat metsät
