<http://www.yso.fi/onto/yso/p6046>	työterveyshuolto
<http://www.yso.fi/onto/yso/p22598>	erikoislääkärit
<http://www.yso.fi/onto/yso/p84>	koulutus
<http://www.yso.fi/onto/yso/p21544>	kouluttajakoulutus
<http://www.yso.fi/onto/yso/p3209>	kokemukset
<http://www.yso.fi/onto/yso/p8343>	osaaminen
<http://www.yso.fi/onto/yso/p7482>	kokemusoppiminen
<http://www.yso.fi/onto/yso/p18727>	yhteisöllinen oppiminen
<http://www.yso.fi/onto/yso/p39513>	konstruktivismi (filosofia)
<http://www.yso.fi/onto/yso/p7413>	arviointi
<http://www.yso.fi/onto/yso/p1912>	ohjaus (taiteet ja media)
