<http://www.yso.fi/onto/yso/p1634>	ravintolat
<http://www.yso.fi/onto/yso/p4946>	ravitsemisliikkeet
<http://www.yso.fi/onto/yso/p18807>	ravintola-ala
<http://www.yso.fi/onto/yso/p2113>	majoitusala
<http://www.yso.fi/onto/yso/p18452>	kulttuurihistoria
<http://www.yso.fi/onto/yso/p8391>	alkoholikulttuuri
<http://www.yso.fi/onto/yso/p19612>	alkoholipolitiikka
<http://www.yso.fi/onto/yso/p8393>	alkoholinkäyttö
<http://www.yso.fi/onto/yso/p1386>	alkoholijuomat
<http://www.yso.fi/onto/yso/p18964>	anniskelu
<http://www.yso.fi/onto/yso/p13854>	lainsäädäntö
<http://www.yso.fi/onto/yso/p9482>	juomatavat
<http://www.yso.fi/onto/yso/p5529>	ruokakulttuuri
<http://www.yso.fi/onto/yso/p16438>	kontrollipolitiikka
<http://www.yso.fi/onto/yso/p3918>	säännöstely
<http://www.yso.fi/onto/yso/p7135>	sosiaaliset normit
<http://www.yso.fi/onto/yso/p11053>	raittiusliikkeet
<http://www.yso.fi/onto/yso/p3486>	kieltolait
<http://www.yso.fi/onto/yso/p3866>	kansainvälistyminen
<http://www.yso.fi/onto/yso/p7558>	tapakulttuuri
<http://www.yso.fi/onto/yso/p7560>	sosiaalinen elämä
<http://www.yso.fi/onto/yso/p5611>	huvit
<http://www.yso.fi/onto/yso/p1780>	historia
