<http://www.yso.fi/onto/yso/p7656>	sotilaslentäjät
<http://www.yso.fi/onto/yso/p136>	fyysinen kuormittavuus
<http://www.yso.fi/onto/yso/p25615>	ylikuormitus
<http://www.yso.fi/onto/yso/p2785>	tuki- ja liikuntaelimet
<http://www.yso.fi/onto/yso/p2414>	oireet
<http://www.yso.fi/onto/yso/p17068>	ammattitaudit
<http://www.yso.fi/onto/yso/p27172>	fyysinen toimintakyky
<http://www.yso.fi/onto/yso/p7384>	fyysinen kunto
<http://www.yso.fi/onto/yso/p26412>	harjoittelu
<http://www.yso.fi/onto/yso/p3734>	valmennus
<http://www.yso.fi/onto/yso/p337>	palautuminen
<http://www.yso.fi/onto/yso/p129>	työn kuormittavuus
