<http://www.yso.fi/onto/yso/p2240>	tiede (ilmiöt)
<http://www.yso.fi/onto/yso/p13704>	ymmärrettävyys
<http://www.yso.fi/onto/yso/p9778>	yhteiskunta
<http://www.yso.fi/onto/yso/p2945>	oppiminen
<http://www.yso.fi/onto/yso/p261>	tieto
<http://www.yso.fi/onto/yso/p2555>	talous
<http://www.yso.fi/onto/yso/p1586>	tekniikka (tieteet)
<http://www.yso.fi/onto/yso/p2700>	julkaisutoiminta
<http://www.yso.fi/onto/yso/p998>	teollisuus
<http://www.yso.fi/onto/yso/p8619>	elinkeinoelämä
<http://www.yso.fi/onto/yso/p183>	tutkimus
<http://www.yso.fi/onto/yso/p84>	koulutus
