<http://www.yso.fi/onto/yso/p26902>	perfektionismi
<http://www.yso.fi/onto/yso/p990>	mielenterveyshäiriöt
<http://www.yso.fi/onto/yso/p7995>	masennus
<http://www.yso.fi/onto/yso/p21091>	ahdistuneisuushäiriöt
<http://www.yso.fi/onto/yso/p989>	syömishäiriöt
<http://www.yso.fi/onto/yso/p327>	persoonallisuushäiriöt
<http://www.yso.fi/onto/yso/p130>	uupumus
<http://www.yso.fi/onto/yso/p133>	stressi
<http://www.yso.fi/onto/yso/p266>	itsetunto
<http://www.yso.fi/onto/yso/p8503>	kiintymyssuhdeteoria
<http://www.yso.fi/onto/yso/p3312>	vanhemmuus
<http://www.yso.fi/onto/yso/p965>	urheilu
<http://www.yso.fi/onto/yso/p17531>	kognitiivinen käyttäytymisterapia
<http://www.yso.fi/onto/yso/p7413>	arviointi
