<http://www.yso.fi/onto/yso/p7292>	neural networks (information technology)
<http://www.yso.fi/onto/yso/p2130>	regression analysis
<http://www.yso.fi/onto/yso/p29172>	data science
<http://www.yso.fi/onto/yso/p4525>	pension contributions
<http://www.yso.fi/onto/yso/p3481>	wage level
<http://www.yso.fi/onto/yso/p21846>	machine learning
<http://www.yso.fi/onto/yso/p10580>	employers
<http://www.yso.fi/onto/yso/p2008>	wages
<http://www.yso.fi/onto/yso/p25748>	linear models
<http://www.yso.fi/onto/yso/p16098>	employers' contributions
<http://www.yso.fi/onto/yso/p3297>	forecasts
