<http://www.yso.fi/onto/yso/p39260>	colleagues
<http://www.yso.fi/onto/yso/p4191>	supervisors
<http://www.yso.fi/onto/yso/p10647>	multiculturalism
<http://www.yso.fi/onto/yso/p554>	leadership (activity)
<http://www.yso.fi/onto/yso/p26040>	co-workers
<http://www.yso.fi/onto/yso/p16518>	intercultural communication
<http://www.yso.fi/onto/yso/p10645>	interculturalism
<http://www.yso.fi/onto/yso/p11261>	corporate culture
<http://www.yso.fi/onto/yso/p3128>	enterprises
<http://www.yso.fi/onto/yso/p1075>	employees
<http://www.yso.fi/onto/yso/p272>	organisations (systems)
<http://www.yso.fi/onto/yso/p372>	culture
<http://www.yso.fi/onto/yso/p6120>	mobility of labour
<http://www.yso.fi/onto/yso/p23894>	managers and executives
<http://www.yso.fi/onto/yso/p252>	mobility
<http://www.yso.fi/onto/yso/p8420>	leadership (properties)
