<http://www.yso.fi/onto/yso/p5619>	attitudes
<http://www.yso.fi/onto/yso/p15592>	media culture
<http://www.yso.fi/onto/yso/p5759>	television (mass media)
<http://www.yso.fi/onto/yso/p7829>	discourse analysis
<http://www.yso.fi/onto/yso/p9239>	humour
<http://www.yso.fi/onto/yso/p6303>	discrimination
<http://www.yso.fi/onto/yso/p28004>	media environment
<http://www.yso.fi/onto/yso/p1474>	blacks
<http://www.yso.fi/onto/yso/p11204>	slavery
<http://www.yso.fi/onto/yso/p12677>	stereotypies
<http://www.yso.fi/onto/yso/p608>	racism
<http://www.yso.fi/onto/yso/p11114>	otherness
<http://www.yso.fi/onto/yso/p2550>	power structures
<http://www.yso.fi/onto/yso/p6458>	refugees
<http://www.yso.fi/onto/yso/p22221>	skin colour
