<http://www.yso.fi/onto/yso/p38829>	COVID-19
<http://www.yso.fi/onto/yso/p2445>	media
<http://www.yso.fi/onto/yso/p8917>	social exclusion
<http://www.yso.fi/onto/yso/p21597>	financial status
<http://www.yso.fi/onto/yso/p1949>	mental health
<http://www.yso.fi/onto/yso/p7637>	recommendations
<http://www.yso.fi/onto/yso/p18250>	nation-state
<http://www.yso.fi/onto/yso/p13151>	alienation
<http://www.yso.fi/onto/yso/p10121>	pandemics
<http://www.yso.fi/onto/yso/p28316>	focus-group interviews
<http://www.yso.fi/onto/yso/p12638>	reactions
<http://www.yso.fi/onto/yso/p2736>	citizenship
<http://www.yso.fi/onto/yso/p5371>	Finnish Australians
<http://www.yso.fi/onto/yso/p13163>	Australians
<http://www.yso.fi/onto/yso/p10724>	responses
