<http://www.yso.fi/onto/yso/p9677>	water policy
<http://www.yso.fi/onto/yso/p3810>	reservoirs
<http://www.yso.fi/onto/yso/p6191>	dams
<http://www.yso.fi/onto/yso/p15723>	hydroelectric power stations
<http://www.yso.fi/onto/yso/p3792>	water
<http://www.yso.fi/onto/yso/p7944>	disputes
<http://www.yso.fi/onto/yso/p23707>	armed conflicts
<http://www.yso.fi/onto/yso/p7946>	conflicts (societal events)
<http://www.yso.fi/onto/yso/p21270>	political instability
<http://www.yso.fi/onto/yso/p14312>	conflict resolution
<http://www.yso.fi/onto/yso/p23861>	conflict management
<http://www.yso.fi/onto/yso/p9900>	political crises
<http://www.yso.fi/onto/yso/p23926>	rainy season
