<http://www.yso.fi/onto/yso/p3334>	environmental organisations
<http://www.yso.fi/onto/yso/p2438>	business life
<http://www.yso.fi/onto/yso/p6405>	non-governmental organisations
<http://www.yso.fi/onto/yso/p8777>	interest groups (associations)
<http://www.yso.fi/onto/yso/p1657>	influencing
<http://www.yso.fi/onto/yso/p10374>	organisations for commerce
<http://www.yso.fi/onto/yso/p272>	organisations (systems)
<http://www.yso.fi/onto/yso/p8775>	interest groups (groups)
<http://www.yso.fi/onto/yso/p5618>	lobbying
<http://www.yso.fi/onto/yso/p9>	environmental activism
<http://www.yso.fi/onto/yso/p8435>	EU policy
<http://www.yso.fi/onto/yso/p14209>	pluralism
