<http://www.yso.fi/onto/yso/p612>	ethnic discrimination
<http://www.yso.fi/onto/yso/p5739>	ethnic minorities
<http://www.yso.fi/onto/yso/p2402>	human rights
<http://www.yso.fi/onto/yso/p231>	fundamental rights
<http://www.yso.fi/onto/yso/p6303>	discrimination
<http://www.yso.fi/onto/yso/p5951>	evidences
<http://www.yso.fi/onto/yso/p17567>	equality (fundamental rights)
<http://www.yso.fi/onto/yso/p1703>	case law
<http://www.yso.fi/onto/yso/p4548>	international courts of justice
<http://www.yso.fi/onto/yso/p5740>	minorities
<http://www.yso.fi/onto/yso/p3079>	burden of proof
<http://www.yso.fi/onto/yso/p1816>	national minorities
<http://www.yso.fi/onto/yso/p9870>	procedural law
