<http://www.yso.fi/onto/yso/p5878>	marketing
<http://www.yso.fi/onto/yso/p1232>	advertising
<http://www.yso.fi/onto/yso/p6722>	anglicisms
<http://www.yso.fi/onto/yso/p2573>	English language
<http://www.yso.fi/onto/yso/p16494>	newspaper advertising
<http://www.yso.fi/onto/yso/p3805>	language contacts
<http://www.yso.fi/onto/yso/p11302>	use of language
<http://www.yso.fi/onto/yso/p7831>	linguistic interaction
<http://www.yso.fi/onto/yso/p12148>	German language
<http://www.yso.fi/onto/yso/p10558>	slogans
<http://www.yso.fi/onto/yso/p5448>	expressions (linguistics)
<http://www.yso.fi/onto/yso/p23851>	brands
<http://www.yso.fi/onto/yso/p6721>	loanwords
<http://www.yso.fi/onto/yso/p1638>	names
<http://www.yso.fi/onto/yso/p8856>	Finnish language
<http://www.yso.fi/onto/yso/p1346>	terminology
<http://www.yso.fi/onto/yso/p2421>	newspapers
