<http://www.yso.fi/onto/yso/p2445>	media
<http://www.yso.fi/onto/yso/p24663>	reception (comprehension)
<http://www.yso.fi/onto/yso/p23851>	brands
<http://www.yso.fi/onto/yso/p14168>	media studies
<http://www.yso.fi/onto/yso/p2422>	press (mass media)
<http://www.yso.fi/onto/yso/p14612>	content analysis
<http://www.yso.fi/onto/yso/p16248>	solidarity
<http://www.yso.fi/onto/yso/p11782>	qualitative research
<http://www.yso.fi/onto/yso/p13560>	marketing research
<http://www.yso.fi/onto/yso/p10982>	case study
<http://www.yso.fi/onto/yso/p21733>	activism
<http://www.yso.fi/onto/yso/p5604>	societal responsibility
<http://www.yso.fi/onto/yso/p13915>	news
<http://www.yso.fi/onto/yso/p6988>	marketing communication
<http://www.yso.fi/onto/yso/p20540>	journalistic writing
