<http://www.yso.fi/onto/yso/p15269>	sale
<http://www.yso.fi/onto/yso/p15971>	sales work
<http://www.yso.fi/onto/yso/p2615>	robotics
<http://www.yso.fi/onto/yso/p11477>	automation
<http://www.yso.fi/onto/yso/p2616>	artificial intelligence
<http://www.yso.fi/onto/yso/p26762>	natural language
<http://www.yso.fi/onto/yso/p28483>	recommender systems
<http://www.yso.fi/onto/yso/p24489>	intelligent agents
<http://www.yso.fi/onto/yso/p21846>	machine learning
<http://www.yso.fi/onto/yso/p39028>	chatbots
<http://www.yso.fi/onto/yso/p1379>	customer service
