<http://www.yso.fi/onto/yso/p21292>	upper comprehensive school
<http://www.yso.fi/onto/yso/p2945>	learning
<http://www.yso.fi/onto/yso/p16096>	universities of technology
<http://www.yso.fi/onto/yso/p2518>	comprehensive school
<http://www.yso.fi/onto/yso/p5569>	networks (systems)
<http://www.yso.fi/onto/yso/p10895>	universities
<http://www.yso.fi/onto/yso/p21683>	learning theories
<http://www.yso.fi/onto/yso/p386>	schools (educational institutions)
<http://www.yso.fi/onto/yso/p4781>	study
<http://www.yso.fi/onto/yso/p25409>	streaming
<http://www.yso.fi/onto/yso/p10564>	universities of applied sciences
<http://www.yso.fi/onto/yso/p8567>	digital technology
<http://www.yso.fi/onto/yso/p8692>	digitalisation
<http://www.yso.fi/onto/yso/p29372>	5G technology
