<http://www.yso.fi/onto/yso/p38829>	COVID-19
<http://www.yso.fi/onto/yso/p25011>	vulnerability
<http://www.yso.fi/onto/yso/p24823>	islamophobia
<http://www.yso.fi/onto/yso/p9220>	Somali people
<http://www.yso.fi/onto/yso/p3478>	inequality
<http://www.yso.fi/onto/yso/p10121>	pandemics
<http://www.yso.fi/onto/yso/p608>	racism
<http://www.yso.fi/onto/yso/p7316>	infections
<http://www.yso.fi/onto/yso/p27697>	meta-analysis
<http://www.yso.fi/onto/yso/p6165>	migrants
<http://www.yso.fi/onto/yso/p6458>	refugees
