<http://www.yso.fi/onto/yso/p4842>	meat dishes
<http://www.yso.fi/onto/yso/p1632>	psychology
<http://www.yso.fi/onto/yso/p17429>	meat eating
<http://www.yso.fi/onto/yso/p27089>	biological psychiatry
<http://www.yso.fi/onto/yso/p7358>	anorexia nervosa
<http://www.yso.fi/onto/yso/p9026>	vegetarianism
<http://www.yso.fi/onto/yso/p9373>	evolutionary psychology
<http://www.yso.fi/onto/yso/p9024>	vegetarian food
<http://www.yso.fi/onto/yso/p7150>	meat
<http://www.yso.fi/onto/yso/p9025>	vegetarian dishes
<http://www.yso.fi/onto/yso/p16265>	aversion
