<http://www.yso.fi/onto/yso/p2402>	human rights
<http://www.yso.fi/onto/yso/p17849>	human rights policy
<http://www.yso.fi/onto/yso/p18083>	rape
<http://www.yso.fi/onto/yso/p17567>	equality (fundamental rights)
<http://www.yso.fi/onto/yso/p18284>	sexual rights
<http://www.yso.fi/onto/yso/p27398>	non-discrimination
<http://www.yso.fi/onto/yso/p67>	violence (activity)
<http://www.yso.fi/onto/yso/p6365>	woman's status
<http://www.yso.fi/onto/yso/p2790>	marriage
<http://www.yso.fi/onto/yso/p5387>	domestic violence
<http://www.yso.fi/onto/yso/p12347>	international law
<http://www.yso.fi/onto/yso/p16391>	human rights violations
<http://www.yso.fi/onto/yso/p24519>	obligations
<http://www.yso.fi/onto/yso/p16991>	women
<http://www.yso.fi/onto/yso/p2538>	state (public sector entities)
