<http://www.yso.fi/onto/yso/p27729>	culture jamming
<http://www.yso.fi/onto/yso/p26787>	ansiktsskydd
<http://www.yso.fi/onto/yso/p362>	militärlän
<http://www.yso.fi/onto/yso/p26275>	frihetskämpar
<http://www.yso.fi/onto/yso/p15708>	röstfysiologi
<http://www.yso.fi/onto/yso/p37974>	ersättande arbete
<http://www.yso.fi/onto/yso/p10127>	trappor
<http://www.yso.fi/onto/yso/p8879>	trädgårdsskötsel (ekonomi)
<http://www.yso.fi/onto/yso/p105061>	Vanhala (S:t Michels landskommun)
<http://www.yso.fi/onto/yso/p11733>	skolarbete
<http://www.yso.fi/onto/yso/p29634>	årta
<http://www.yso.fi/onto/yso/p158122>	Nedre Malm (Helsingfors)
<http://www.yso.fi/onto/yso/p145974>	Vaskijärvi (Högfors)
<http://www.yso.fi/onto/yso/p4410>	brittiskhet
<http://www.yso.fi/onto/yso/p6582>	delegering
<http://www.yso.fi/onto/yso/p6124>	konsonanter
<http://www.yso.fi/onto/yso/p107914>	Stilla havet
<http://www.yso.fi/onto/yso/p5912>	miljöpsykologi
<http://www.yso.fi/onto/yso/p14018>	Satakundabor
<http://www.yso.fi/onto/yso/p15762>	skenäktenskap
<http://www.yso.fi/onto/yso/p14124>	ornitologi
<http://www.yso.fi/onto/yso/p94310>	Nousis
<http://www.yso.fi/onto/yso/p12118>	motionstidningar
<http://www.yso.fi/onto/yso/p23570>	redovisningsskyldighet
<http://www.yso.fi/onto/yso/p20377>	texttelefoner
<http://www.yso.fi/onto/yso/p109667>	Isokylä (Kemijärvi)
<http://www.yso.fi/onto/yso/p112668>	Fribourg
<http://www.yso.fi/onto/yso/p10457>	skarfar
<http://www.yso.fi/onto/yso/p26067>	Berghälls kyrka
<http://www.yso.fi/onto/yso/p2748>	solceller
<http://www.yso.fi/onto/yso/p21534>	elever med speciella behov
<http://www.yso.fi/onto/yso/p21408>	primulor
<http://www.yso.fi/onto/yso/p4395>	brandnämnder
<http://www.yso.fi/onto/yso/p12572>	regler
<http://www.yso.fi/onto/yso/p24123>	helhet
<http://www.yso.fi/onto/yso/p27028>	handlingsinstruktioner
<http://www.yso.fi/onto/yso/p14654>	segelbräden
<http://www.yso.fi/onto/yso/p5064>	transparenta vävnader
<http://www.yso.fi/onto/yso/p23169>	äppelträd
<http://www.yso.fi/onto/yso/p8073>	vitlök
<http://www.yso.fi/onto/yso/p10118>	brandklassificeringar
<http://www.yso.fi/onto/yso/p12150>	synkretism
<http://www.yso.fi/onto/yso/p203499>	Finnmark fylke
<http://www.yso.fi/onto/yso/p10563>	virtuella yrkeshögskolor
<http://www.yso.fi/onto/yso/p17162>	certifikat
<http://www.yso.fi/onto/yso/p21746>	Bomban juhlaviikot
<http://www.yso.fi/onto/yso/p14060>	tennsoldater
<http://www.yso.fi/onto/yso/p1307>	social service
<http://www.yso.fi/onto/yso/p18624>	hälsocentralläkare
<http://www.yso.fi/onto/yso/p6688>	matförsörjning
<http://www.yso.fi/onto/yso/p11774>	VIG
<http://www.yso.fi/onto/yso/p16335>	rysk litteratur
<http://www.yso.fi/onto/yso/p15818>	konståkning
<http://www.yso.fi/onto/yso/p111765>	Gloet (Helsingfors)
<http://www.yso.fi/onto/yso/p38156>	virtuella husdjur
<http://www.yso.fi/onto/yso/p433>	orenhet
<http://www.yso.fi/onto/yso/p3669>	stadsdelsföreningar
<http://www.yso.fi/onto/yso/p105236>	Poltava
<http://www.yso.fi/onto/yso/p210219>	Kaitajärvi (Suojärvi)
<http://www.yso.fi/onto/yso/p7308>	personbilar
<http://www.yso.fi/onto/yso/p18633>	geografi (läroämnen)
<http://www.yso.fi/onto/yso/p20071>	damidrott
<http://www.yso.fi/onto/yso/p13225>	marknadsområden
<http://www.yso.fi/onto/yso/p17470>	resultatlön
<http://www.yso.fi/onto/yso/p3872>	kommuner (gemenskaper)
<http://www.yso.fi/onto/yso/p27618>	modularitet
<http://www.yso.fi/onto/yso/p23700>	reologi
<http://www.yso.fi/onto/yso/p425>	helande
<http://www.yso.fi/onto/yso/p15864>	spänst
<http://www.yso.fi/onto/yso/p25034>	myrtyper
<http://www.yso.fi/onto/yso/p21122>	bonusar
<http://www.yso.fi/onto/yso/p155163>	Maskholmen
<http://www.yso.fi/onto/yso/p27737>	samarbetsspel
<http://www.yso.fi/onto/yso/p9332>	cittra
<http://www.yso.fi/onto/yso/p2965>	partitur
<http://www.yso.fi/onto/yso/p1757>	donationer
<http://www.yso.fi/onto/yso/p28424>	tjänsteexport
<http://www.yso.fi/onto/yso/p22060>	fornnordiska
<http://www.yso.fi/onto/yso/p10042>	urinblåsa
<http://www.yso.fi/onto/yso/p8150>	klaverinstrument
<http://www.yso.fi/onto/yso/p94444>	Toijala
<http://www.yso.fi/onto/yso/p94171>	Juga
<http://www.yso.fi/onto/yso/p27995>	Tor-nätverk
<http://www.yso.fi/onto/yso/p17305>	neurologi
<http://www.yso.fi/onto/yso/p13786>	dyspepsi
<http://www.yso.fi/onto/yso/p4918>	barnträdgårdslärare
<http://www.yso.fi/onto/yso/p510>	modeller (alster)
<http://www.yso.fi/onto/yso/p26830>	diaminer
<http://www.yso.fi/onto/yso/p17352>	självmordsförsök
<http://www.yso.fi/onto/yso/p23302>	jakt- och fiskeövervakning
<http://www.yso.fi/onto/yso/p9086>	hinderlöpning
<http://www.yso.fi/onto/yso/p110242>	Sotkanniemi (Kuopio)
<http://www.yso.fi/onto/yso/p108299>	Sandviken (Helsingfors)
<http://www.yso.fi/onto/yso/p26220>	rättvis turism
<http://www.yso.fi/onto/yso/p38144>	strömstare
<http://www.yso.fi/onto/yso/p7952>	miljöfilosofi
<http://www.yso.fi/onto/yso/p21433>	pionväxter
<http://www.yso.fi/onto/yso/p192623>	K2
<http://www.yso.fi/onto/yso/p197831>	Voiluoto (Raumo)
<http://www.yso.fi/onto/yso/p22822>	Tomtbacka naturskyddsområde
