Haluaisin tietää, mikä on sen salapoliisityyppisen kirjan nimi ja tekijä(t), joka ilmestyi joskus 2000-luvun alkupuolella Helsingin yliopiston kirjaston julkaisemana, ja jonka tapahtumapaikkana oli keskeisesti em. kirjasto ja päähenkilöinä miespuolisia kirjastoamanuensseja tai muuta henkilökuntaa?
Tässä teoksen tarkat tiedot:

TEKIJÄ	Tre herrar
TEOS	Herra Corpwieth : herrasmiessalapoliisi : hänen ensimmäiset seikkailunsa kolmen herran selostamina sekä neljännen suomenkieliseen asuun saattamina / [suomentanut ja toimittanut Heikki Kaukoranta]
PAINOS	2. p. 2003
JULKTIEDOT	Helsinki : Helsingin yliopiston kirjasto, 2003 (Trio-offset)
ULKOASU	318 s. : kuv., kartt. ; 21 cm + 2 karttaliitettä
SARJA	Helsingin yliopiston kirjaston julkaisuja, ISSN 0355-1350 ; 72
STAND NRO	952-10-1363-X (nid.)
ESP LUOKKA	2.4
HEL LUOKKA	1.4
VAN LUOKKA	1.4
ALKUTEOS	Herr Corpwieth : gentleman-detektiv : hans första äventyr
ALKUTEOS	Den gåtfulle dubbelgångaren
