<http://www.yso.fi/onto/yso/p795>	vaikutukset
<http://www.yso.fi/onto/yso/p12877>	vertaisryhmät
<http://www.yso.fi/onto/yso/p12114>	tunne-elämän kehitys
<http://www.yso.fi/onto/yso/p7139>	sosiaalinen käyttäytyminen
<http://www.yso.fi/onto/yso/p6138>	sosiaalinen kehitys
<http://www.yso.fi/onto/yso/p15674>	sosiaalisten tilanteiden pelko
<http://www.yso.fi/onto/yso/p3485>	tunteet
<http://www.yso.fi/onto/yso/p2133>	sosiaalinen asema
<http://www.yso.fi/onto/yso/p506>	hallinta
<http://www.yso.fi/onto/yso/p13203>	ryhmäkäyttäytyminen
<http://www.yso.fi/onto/yso/p6444>	sosiaaliset taidot
<http://www.yso.fi/onto/yso/p4354>	lapset
