<http://www.yso.fi/onto/yso/p8760>	elämäntapa
<http://www.yso.fi/onto/yso/p19124>	filosofit
<http://www.yso.fi/onto/yso/p15308>	henkisyys
<http://www.yso.fi/onto/yso/p3392>	ongelmat
<http://www.yso.fi/onto/yso/p1820>	kysymys
<http://www.yso.fi/onto/yso/p18849>	ihminen
<http://www.yso.fi/onto/yso/p5522>	yhteisöllisyys
<http://www.yso.fi/onto/yso/p8691>	ominaisuudet
<http://www.yso.fi/onto/yso/p2880>	kieli
<http://www.yso.fi/onto/yso/p2023>	eläimet
<http://www.yso.fi/onto/yso/p1056>	filosofia
<http://www.yso.fi/onto/yso/p7272>	kysymykset
<http://www.yso.fi/onto/yso/p3291>	sanat
<http://www.yso.fi/onto/yso/p15960>	eksistenssi
<http://www.yso.fi/onto/yso/p6424>	olemus
<http://www.yso.fi/onto/yso/p14396>	ihmisyys
<http://www.yso.fi/onto/yso/p6227>	luonnontieteet
<http://www.yso.fi/onto/yso/p18344>	määritelmät
