<http://www.yso.fi/onto/yso/p854>	vastuu
<http://www.yso.fi/onto/yso/p256>	asunnot
<http://www.yso.fi/onto/yso/p13798>	kiinteistönkauppa
<http://www.yso.fi/onto/yso/p13790>	kosteusvauriot
<http://www.yso.fi/onto/yso/p17947>	asuntokauppalaki
<http://www.yso.fi/onto/yso/p7256>	home
<http://www.yso.fi/onto/yso/p13854>	lainsäädäntö
<http://www.yso.fi/onto/yso/p6712>	kiinteistöt
<http://www.yso.fi/onto/yso/p4029>	kauppa
<http://www.yso.fi/onto/yso/p3922>	korvausvastuu
<http://www.yso.fi/onto/yso/p5991>	maakaari
