<http://www.yso.fi/onto/yso/p2794>	perhe
<http://www.yso.fi/onto/yso/p17968>	elämäkertaromaanit
<http://www.yso.fi/onto/yso/p2718>	henkilöhistoria
<http://www.yso.fi/onto/yso/p13859>	muistot
<http://www.yso.fi/onto/yso/p13735>	lapsuus
<http://www.yso.fi/onto/yso/p8111>	muistelmat
<http://www.yso.fi/onto/yso/p4363>	perheet
<http://www.yso.fi/onto/yso/p2344>	teokset
<http://www.yso.fi/onto/yso/p16155>	omaelämäkerrallisuus
<http://www.yso.fi/onto/yso/p2259>	perhe-elämä
<http://www.yso.fi/onto/yso/p1896>	romaanit
<http://www.yso.fi/onto/yso/p4188>	kuvaukset
