<http://www.yso.fi/onto/yso/p4074>	vanhemmat
<http://www.yso.fi/onto/yso/p854>	vastuu
<http://www.yso.fi/onto/yso/p13093>	natsit
<http://www.yso.fi/onto/yso/p9794>	traumat
<http://www.yso.fi/onto/yso/p2357>	lapset
<http://www.yso.fi/onto/yso/p7505>	syyllisyys
<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p8111>	muistelmat
<http://www.yso.fi/onto/yso/p2128>	kertomakirjallisuus
<http://www.yso.fi/onto/yso/p12596>	kansallissosialismi
<http://www.yso.fi/onto/yso/p14600>	fiktio
