<http://www.yso.fi/onto/yso/p2787>	kirjastot
<http://www.yso.fi/onto/yso/p1255>	aikakauslehdet
<http://www.yso.fi/onto/yso/p8851>	lukusalit
<http://www.yso.fi/onto/yso/p1202>	vuosi
<http://www.yso.fi/onto/yso/p2336>	arkistot
<http://www.yso.fi/onto/yso/p2072>	luvat
<http://www.yso.fi/onto/yso/p6546>	aineistot
<http://www.yso.fi/onto/yso/p4050>	WWW-sivut
<http://www.yso.fi/onto/yso/p11657>	kansalliskirjastot
<http://www.yso.fi/onto/yso/p20503>	lehti
<http://www.yso.fi/onto/yso/p2422>	lehdistö
<http://www.yso.fi/onto/yso/p9583>	ohjeet
