<http://www.yso.fi/onto/yso/p9414>	riippuvuus
<http://www.yso.fi/onto/yso/p19108>	ksylitoli
<http://www.yso.fi/onto/yso/p3671>	ravinto
<http://www.yso.fi/onto/yso/p17287>	sakkaroosi
<http://www.yso.fi/onto/yso/p4938>	lisäaineet
<http://www.yso.fi/onto/yso/p6580>	elintarvikkeet
<http://www.yso.fi/onto/yso/p12544>	mielihyvä
<http://www.yso.fi/onto/yso/p15474>	makuaisti
<http://www.yso.fi/onto/yso/p7172>	sokeri
<http://www.yso.fi/onto/yso/p2455>	leivonnaiset
<http://www.yso.fi/onto/yso/p7171>	hiilihydraatit
