<http://www.yso.fi/onto/yso/p11064>	sotalaitokset
<http://www.yso.fi/onto/yso/p3885>	sotaväki
<http://www.yso.fi/onto/yso/p5184>	sanakirjat
<http://www.yso.fi/onto/yso/p2573>	englannin kieli
<http://www.yso.fi/onto/yso/p3884>	armeijat
<http://www.yso.fi/onto/yso/p11816>	asevoimat
<http://www.yso.fi/onto/yso/p5448>	ilmaukset
<http://www.yso.fi/onto/yso/p1346>	terminologia
<http://www.yso.fi/onto/yso/p7407>	sanastot
<http://www.yso.fi/onto/yso/p16349>	käännökset
<http://www.yso.fi/onto/yso/p7457>	puolustusvoimat
<http://www.yso.fi/onto/yso/p8856>	suomen kieli
