<http://www.yso.fi/onto/yso/p15937>	vauvat
<http://www.yso.fi/onto/yso/p1570>	siskot
<http://www.yso.fi/onto/yso/p8749>	raskaus
<http://www.yso.fi/onto/yso/p7281>	sikiönkehitys
<http://www.yso.fi/onto/yso/p12279>	äidit
<http://www.yso.fi/onto/yso/p1569>	veljet
<http://www.yso.fi/onto/yso/p4742>	lastenkirjallisuus
<http://www.yso.fi/onto/yso/p6915>	leikki-ikäiset
<http://www.yso.fi/onto/yso/p19580>	mustasukkaisuus
<http://www.yso.fi/onto/yso/p1571>	sisarukset
<http://www.yso.fi/onto/yso/p11808>	kuvakirjat
