<http://www.yso.fi/onto/yso/p11532>	englantilaiset
<http://www.yso.fi/onto/yso/p18409>	vakoilijat
<http://www.yso.fi/onto/yso/p18784>	Haminan rauha
<http://www.yso.fi/onto/yso/p9830>	laivastotukikohdat
<http://www.yso.fi/onto/yso/p4086>	vakoilu
<http://www.yso.fi/onto/yso/p20604>	Krimin sota
<http://www.yso.fi/onto/yso/p13300>	laivasto
<http://www.yso.fi/onto/yso/p9782>	diplomaatit
<http://www.yso.fi/onto/yso/p11816>	asevoimat
<http://www.yso.fi/onto/yso/p11027>	satamat
<http://www.yso.fi/onto/yso/p20393>	agentit
<http://www.yso.fi/onto/yso/p13152>	tiedustelu
<http://www.yso.fi/onto/yso/p3944>	merivoimat
<http://www.yso.fi/onto/yso/p1208>	venäläiset
<http://www.yso.fi/onto/yso/p11004>	britit
