<http://www.yso.fi/onto/yso/p1548>	julkaisut
<http://www.yso.fi/onto/yso/p156>	kirjat
<http://www.yso.fi/onto/yso/p7528>	painotuotteet
<http://www.yso.fi/onto/yso/p11657>	kansalliskirjastot
<http://www.yso.fi/onto/yso/p3156>	tilastot
<http://www.yso.fi/onto/yso/p1999>	tallenteet
<http://www.yso.fi/onto/yso/p15269>	myynti
<http://www.yso.fi/onto/yso/p7239>	kustantajat
<http://www.yso.fi/onto/yso/p12290>	aikasarjat
<http://www.yso.fi/onto/yso/p17134>	genret
<http://www.yso.fi/onto/yso/p12395>	pienkustantajat
