<http://www.yso.fi/onto/yso/p13427>	löytöretket
<http://www.yso.fi/onto/yso/p6542>	sitrushedelmät
<http://www.yso.fi/onto/yso/p5756>	säilöntä
<http://www.yso.fi/onto/yso/p6580>	elintarvikkeet
<http://www.yso.fi/onto/yso/p19762>	hapankaali
<http://www.yso.fi/onto/yso/p4911>	laivat
<http://www.yso.fi/onto/yso/p1921>	merimatkat
<http://www.yso.fi/onto/yso/p4962>	vitamiinit
<http://www.yso.fi/onto/yso/p1684>	merimiehet
<http://www.yso.fi/onto/yso/p3939>	ravintoaineet
<http://www.yso.fi/onto/yso/p16966>	C-vitamiini
<http://www.yso.fi/onto/yso/p12821>	rommi
