<http://www.yso.fi/onto/yso/p13232>	sienivärjäys
<http://www.yso.fi/onto/yso/p90>	sienet
<http://www.yso.fi/onto/yso/p12709>	kasvivärjäys
<http://www.yso.fi/onto/yso/p709>	luonnonmateriaalit
<http://www.yso.fi/onto/yso/p16940>	pellava
<http://www.yso.fi/onto/yso/p2176>	väriaineet
<http://www.yso.fi/onto/yso/p970>	värjäys
<http://www.yso.fi/onto/yso/p2612>	yrtit
<http://www.yso.fi/onto/yso/p13512>	tekstiilit
<http://www.yso.fi/onto/yso/p16951>	pellava
<http://www.yso.fi/onto/yso/p15828>	langat
<http://www.yso.fi/onto/yso/p485>	käsityöt
