<http://www.yso.fi/onto/yso/p4074>	vanhemmat
<http://www.yso.fi/onto/yso/p20124>	henkinen tuki -- kriisit
<http://www.yso.fi/onto/yso/p5655>	suuronnettomuudet
<http://www.yso.fi/onto/yso/p6173>	kriisit
<http://www.yso.fi/onto/yso/p3422>	onnettomuudet
<http://www.yso.fi/onto/yso/p11867>	selviytyminen
<http://www.yso.fi/onto/yso/p17963>	suru
<http://www.yso.fi/onto/yso/p17808>	menetys
<http://www.yso.fi/onto/yso/p2594>	liikenneonnettomuudet
<http://www.yso.fi/onto/yso/p4354>	lapset
<http://www.yso.fi/onto/yso/p626>	kuolema
