<http://www.yso.fi/onto/yso/p4049>	verkkojulkaisut
<http://www.yso.fi/onto/yso/p1998>	sähköiset julkaisut
<http://www.yso.fi/onto/yso/p18055>	sukututkimus
<http://www.yso.fi/onto/yso/p18859>	henkilötietolaki
<http://www.yso.fi/onto/yso/p10909>	yksityisyys
<http://www.yso.fi/onto/yso/p406>	sukulaisuus
<http://www.yso.fi/onto/yso/p15126>	henkilötiedot
<http://www.yso.fi/onto/yso/p3637>	yksilönsuoja
<http://www.yso.fi/onto/yso/p3636>	tietosuoja
<http://www.yso.fi/onto/yso/p2072>	luvat
<http://www.yso.fi/onto/yso/p405>	sukulaiset
