<http://www.yso.fi/onto/yso/p4511>	tulkinta
<http://www.yso.fi/onto/yso/p1066>	kirjallisuudentutkimus
<http://www.yso.fi/onto/yso/p14612>	sisällönanalyysi
<http://www.yso.fi/onto/yso/p5400>	henkilökuvat
<http://www.yso.fi/onto/yso/p2344>	teokset
<http://www.yso.fi/onto/yso/p156>	kirjat
<http://www.yso.fi/onto/yso/p1272>	henkilöt
<http://www.yso.fi/onto/yso/p1896>	romaanit
<http://www.yso.fi/onto/yso/p1569>	veljet
<http://www.yso.fi/onto/yso/p13380>	sisällönkuvailu
<http://www.yso.fi/onto/yso/p15374>	henkilökuvaus
<http://www.yso.fi/onto/yso/p1273>	fiktiiviset henkilöt
